"gene_name","old_annotation","pfams","GOs"
"LOC105433837","phospholipase A1 member A, partial","PF00151|Lipase","GO:0004806|triglyceride lipase activity"
"LOC105422115","LOW QUALITY PROTEIN: uncharacterized protein LOC105422115",NA,NA
"LOC105433912","transcription factor CP2-like protein 1, partial","PF18016|SAM domain (Sterile alpha motif)",NA
"LOC105425480","WD repeat-containing protein 62 isoform X4","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105425480","uncharacterized protein LOC105425480 isoform X2","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105425480","uncharacterized protein LOC105425480 isoform X3","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105425480","uncharacterized protein LOC105425480 isoform X1","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC112553082","LOW QUALITY PROTEIN: uncharacterized protein LOC112553082, partial","PF00361|Proton-conducting membrane transporter",NA
"LOC105423297","cytochrome P450 4C1-like, partial","PF00067|Cytochrome P450","GO:0004497|monooxygenase activity; GO:0005506|iron ion binding; GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037|heme binding"
"LOC105423903","uncharacterized protein LOC105423903",NA,NA
"LOC105423910","uncharacterized protein LOC105423910",NA,NA
"LOC105433893","RNA polymerase II-associated protein 1-like",NA,NA
"LOC105424491","DNA-3-methyladenine glycosylase-like isoform X3","PF02245|Methylpurine-DNA glycosylase (MPG)","GO:0003677|DNA binding; GO:0003905|alkylbase DNA N-glycosylase activity; GO:0006284|base-excision repair"
"LOC105424491","DNA-3-methyladenine glycosylase-like isoform X2","PF02245|Methylpurine-DNA glycosylase (MPG)","GO:0003677|DNA binding; GO:0003905|alkylbase DNA N-glycosylase activity; GO:0006284|base-excision repair"
"LOC105424491","DNA-3-methyladenine glycosylase-like isoform X1","PF02245|Methylpurine-DNA glycosylase (MPG)","GO:0003677|DNA binding; GO:0003905|alkylbase DNA N-glycosylase activity; GO:0006284|base-excision repair"
"LOC105430305","uncharacterized protein LOC105430305",NA,NA
"LOC105430312","uncharacterized protein LOC105430312",NA,NA
"LOC112552846","uncharacterized protein LOC112552846",NA,NA
