accession,start,stop,strand,geneID,locus,locus_tag,protein_product,length,protein_name
NW_007930840.1,1083728,1084132,+,19885639,,BBA_02627,XP_008595946.1,134,hypothetical protein BBA_02627
NW_007930840.1,1084945,1087156,+,19885640,,BBA_02628,XP_008595947.1,588,Putative heterokaryon incompatibility protein
NW_007930840.1,1088215,1089447,+,19885641,,BBA_02629,XP_008595948.1,410,Putative conidiospore surface protein
NW_007930840.1,1090078,1099521,-,19885642,,BBA_02630,XP_008595949.1,3147,bassianolide nonribosomal peptide synthetase
NW_007930840.1,1101025,1101699,-,19885643,,BBA_02631,XP_008595950.1,172,hypothetical protein BBA_02631
NW_007930840.1,1104789,1106566,+,19885644,,BBA_02632,XP_008595951.1,520,Cytochrome P450 CYP617A2
NW_007930840.1,1108542,1109708,-,19885645,,BBA_02633,XP_008595952.1,388,alpha/beta hydrolase fold-3 domain containing protein
NW_007930840.1,1110513,1112070,-,19885646,,BBA_02634,XP_008595953.1,485,Putative Gal4-like transcriptional regulator
NW_007930840.1,1112668,1114167,+,19885647,,BBA_02635,XP_008595954.1,371,Putative GTPase
NW_007930840.1,1114666,1115389,-,19885648,,BBA_02636,XP_008595955.1,212,BNS1 protein
NW_007930840.1,1116878,1118419,-,19885649,,BBA_02637,XP_008595956.1,451,Putative FadE2-like acyl-CoA dehydrogenase
NW_007930840.1,1119585,1120616,-,19885650,,BBA_02638,XP_008595957.1,205,Putative Rab7-like GTPase
NW_007930840.1,1121328,1122583,+,19885651,,BBA_02639,XP_008595958.1,371,ATPase associated with various cellular activities AAA_3
NW_007930840.1,1122879,1124750,-,19885652,,BBA_02640,XP_008595959.1,606,Guanosine diphosphatase
NW_007930840.1,1126186,1130067,-,19885653,,BBA_02641,XP_008595960.1,1276,GANP/Nin1/mts3/eIF-3 p25 family protein
NW_007930836.1,3335,3683,+,19883013,,BBA_00001,XP_008593320.1,97,hypothetical protein BBA_00001
NW_007930836.1,5664,7104,-,19883014,,BBA_00002,XP_008593321.1,286,ABC transporter
NW_007930836.1,8108,8869,-,19883015,,BBA_00003,XP_008593322.1,253,hypothetical protein BBA_00003
NW_007930836.1,12136,13042,+,19883016,,BBA_00004,XP_008593323.1,278,cell wall associated protein
NW_007930836.1,15330,20029,+,19883017,,BBA_00005,XP_008593324.1,1333,ABC transporter transmembrane region
NW_007930836.1,21184,22451,+,19883018,,BBA_00006,XP_008593325.1,395,hypothetical protein BBA_00006
NW_007930836.1,23340,25184,+,19883019,,BBA_00007,XP_008593326.1,614,iron only hydrogenase large subunit domain-containing protein
NW_007930836.1,25244,26096,-,19883020,,BBA_00008,XP_008593327.1,261,hypothetical protein BBA_00008
NW_007930836.1,26627,26932,+,19883021,,BBA_00009,XP_008593328.1,80,hypothetical protein BBA_00009
NW_007930836.1,30265,32130,+,19883022,,BBA_00010,XP_008593329.1,266,hypothetical protein BBA_00010
NW_007930836.1,33013,35806,+,19883023,,BBA_00011,XP_008593330.1,911,serine/threonine-protein kinase sck1
NW_007930836.1,37116,37424,-,19883024,,BBA_00012,XP_008593331.1,102,ATP synthase H chain
NW_007930836.1,38580,39928,-,19883025,,BBA_00013,XP_008593332.1,410,"cellobiose dehydrogenase, putative"
NW_007930836.1,42774,44348,-,19883026,,BBA_00014,XP_008593333.1,524,serine/threonine-protein kinase psk1
NW_007930836.1,45678,47093,-,19883027,,BBA_00015,XP_008593334.1,440,Transcription regulator cyclin
NW_007930836.1,47545,49098,-,19883028,,BBA_00016,XP_008593335.1,517,U4/U6 small nuclear ribonucleoprotein Prp4
NW_007930836.1,50976,55391,+,19883029,,BBA_00017,XP_008593336.1,1367,ABC transporter
NW_007930836.1,55812,56743,-,19883030,,BBA_00018,XP_008593337.1,284,2OG-Fe(II) oxygenase family Oxidoreductase
NW_007930836.1,57711,58663,-,19883031,,BBA_00019,XP_008593338.1,227,tat pathway signal sequence
NW_007930836.1,63451,64529,-,19883032,,BBA_00020,XP_008593339.1,336,glycerate dehydrogenase
NW_007930836.1,66572,67074,+,19883033,,BBA_00021,XP_008593340.1,99,LSM domain-containing protein
NW_007930836.1,67095,68927,-,19883034,,BBA_00022,XP_008593341.1,459,inosine-uridine preferring nucleoside hydrolase
NW_007930836.1,71296,72546,+,19883035,,BBA_00023,XP_008593342.1,416,hypothetical protein BBA_00023
NW_007930836.1,75584,76846,+,19883036,,BBA_00024,XP_008593343.1,420,hypothetical protein BBA_00024
NW_007930836.1,77430,78098,-,19883037,,BBA_00025,XP_008593344.1,222,hypothetical protein BBA_00025
NW_007930836.1,78801,79499,-,19883038,,BBA_00026,XP_008593345.1,232,hypothetical protein BBA_00026
NW_007930836.1,80124,81112,+,19883039,,BBA_00027,XP_008593346.1,304,Mitochondrial glycoprotein
NW_007930836.1,81860,83583,-,19883040,,BBA_00028,XP_008593347.1,458,oxysterol-binding family protein
NW_007930836.1,85654,87786,+,19883041,,BBA_00029,XP_008593348.1,710,pumilio-family RNA binding repeat domain-containing protein
NW_007930836.1,88075,90170,-,19883042,,BBA_00030,XP_008593349.1,579,"AMP-binding enzyme, putative"
NW_007930836.1,92358,93023,+,19883043,,BBA_00031,XP_008593350.1,193,hypothetical protein BBA_00031
NW_007930836.1,94827,95943,-,19883044,,BBA_00032,XP_008593351.1,352,hypothetical protein BBA_00032
NW_007930836.1,102128,105545,+,19883045,,BBA_00033,XP_008593352.1,1107,hypothetical protein BBA_00033
NW_007930836.1,106279,108060,-,19883046,,BBA_00034,XP_008593353.1,518,group II pyridoxal-5-phosphate decarboxylase
NW_007930836.1,109584,109859,+,19883047,,BBA_00035,XP_008593354.1,91,hypothetical protein BBA_00035
NW_007930836.1,110439,111308,-,19883048,,BBA_00036,XP_008593355.1,289,Ras family protein
NW_007930836.1,113425,114147,-,19883049,,BBA_00037,XP_008593356.1,240,gp24-like protein
NW_007930840.1,1130449,1131740,-,19885654,,BBA_02642,XP_008595961.1,412,low temperature viability protein
NW_007930840.1,1132090,1134048,+,19885655,,BBA_02643,XP_008595962.1,652,nucleolar GTP-binding protein
NW_007930840.1,1134467,1137311,-,19885656,,BBA_02644,XP_008595963.1,910,Ncp1-like protein
NW_007930840.1,1141750,1143271,-,19885657,,BBA_02645,XP_008595964.1,480,"beta-1, 3-glucan binding protein"
NW_007930840.1,1148194,1151031,-,19885658,,BBA_02646,XP_008595965.1,945,GAS2 domain-containing protein
NW_007930840.1,1153983,1157949,-,19885659,,BBA_02647,XP_008595966.1,917,cutinase transcription factor 1 beta
NW_007930840.1,1165166,1167361,-,19885660,,BBA_02648,XP_008595967.1,675,malic enzyme
NW_007930840.1,1173485,1178215,-,19885661,,BBA_02649,XP_008595968.1,1576,hypothetical protein BBA_02649
NW_007930840.1,1179321,1180835,+,19885662,,BBA_02650,XP_008595969.1,478,TruB family pseudouridylate synthase
NW_007930840.1,1181785,1183451,-,19885663,,BBA_02651,XP_008595970.1,496,LPXTG-domain-containing protein
NW_007930840.1,1185163,1188677,-,19885664,,BBA_02652,XP_008595971.1,826,centromere/microtubule-binding protein cbf5
NW_007930840.1,1193394,1195413,-,19885665,,BBA_02653,XP_008595972.1,532,carbon-nitrogen hydrolase
NW_007930840.1,1197090,1199552,-,19885666,,BBA_02654,XP_008595973.1,775,carbon-nitrogen hydrolase
NW_007930840.1,1203099,1206139,-,19885667,,BBA_02655,XP_008595974.1,897,carbon-nitrogen hydrolase
NW_007930840.1,1213334,1215196,+,19885668,,BBA_02656,XP_008595975.1,578,LPXTG-domain-containing protein
NW_007930840.1,1215691,1216960,-,19885669,,BBA_02657,XP_008595976.1,264,Der1-like family protein
NW_007930840.1,1217633,1218020,+,19885670,,BBA_02658,XP_008595977.1,111,hypothetical protein BBA_02658
NW_007930840.1,1218196,1219326,-,19885671,,BBA_02659,XP_008595978.1,355,replication factor C
NW_007930840.1,1219654,1220310,+,19885672,,BBA_02660,XP_008595979.1,198,rRNA-processing protein FCF1
NW_007930840.1,1221384,1222238,+,19885673,,BBA_02661,XP_008595980.1,284,hypothetical protein BBA_02661
NW_007930840.1,1222861,1227814,+,19885674,,BBA_02662,XP_008595981.1,1234,fungal specific transcription factor
NW_007930840.1,1238059,1240561,+,19885675,,BBA_02663,XP_008595982.1,786,2-dehydropantoate 2-reductase
NW_007930840.1,1241947,1242260,+,19885676,,BBA_02664,XP_008595983.1,68,hypothetical protein BBA_02664
NW_007930840.1,1242567,1243133,-,19885677,,BBA_02665,XP_008595984.1,188,RNAse P Rpr2/Rpp21/SNM1 subunit domain-containing protein
NW_007930840.1,1243766,1245955,+,19885678,,BBA_02666,XP_008595985.1,432,DEAD/DEAH box helicase
NW_007930840.1,1252174,1254232,+,19885679,,BBA_02667,XP_008595986.1,662,cyclin-like protein
NW_007930840.1,1255287,1256753,+,19885680,,BBA_02668,XP_008595987.1,488,"pyridine nucleotide-disulfide oxidoreductase, putative"
NW_007930840.1,1257662,1258366,+,19885681,,BBA_02669,XP_008595988.1,234,hypothetical protein BBA_02669
NW_007930840.1,1259840,1262347,+,19885682,,BBA_02670,XP_008595989.1,835,hypothetical protein BBA_02670
NW_007930840.1,1262890,1264001,-,19885683,,BBA_02671,XP_008595990.1,226,proteasome A-type and B-type
NW_007930840.1,1264120,1265910,+,19885684,,BBA_02672,XP_008595991.1,596,WD domain-containing protein
NW_007930840.1,1266426,1269175,-,19885685,,BBA_02673,XP_008595992.1,875,Ulp1 protease family protein
NW_007930840.1,1270394,1271290,+,19885686,,BBA_02674,XP_008595993.1,232,signal peptidase subunit
NW_007930840.1,1271688,1276047,-,19885687,,BBA_02675,XP_008595994.1,1398,XRN 5\\'-3\\' exonuclease
NW_007930840.1,1276915,1278474,+,19885688,,BBA_02676,XP_008595995.1,432,nucleosome remodeling factor CAF-I subunit
NW_007930840.1,1279002,1280966,+,19885689,,BBA_02677,XP_008595996.1,654,putative histidine kinase group protein
NW_007930840.1,1282007,1284141,-,19885690,,BBA_02678,XP_008595997.1,612,centractin (ARP1)
NW_007930840.1,1288389,1288838,+,19885691,,BBA_02679,XP_008595998.1,95,"stress response RCI peptide, putative"
NW_007930836.1,116897,117700,-,19883050,,BBA_00038,XP_008593357.1,267,AMME syndrome protein
NW_007930836.1,119294,119569,+,19883051,,BBA_00039,XP_008593358.1,62,hypothetical protein BBA_00039
NW_007930836.1,121573,122736,+,19883052,,BBA_00040,XP_008593359.1,345,hypothetical protein BBA_00040
NW_007930836.1,123417,124953,+,19883053,,BBA_00041,XP_008593360.1,466,WD domain-containing protein
NW_007930836.1,125824,127043,+,19883054,,BBA_00042,XP_008593361.1,355,homoserine acetyltransferase family protein
NW_007930836.1,127178,128543,-,19883055,,BBA_00043,XP_008593362.1,433,hypothetical protein BBA_00043
NW_007930836.1,129300,130070,-,19883056,,BBA_00044,XP_008593363.1,256,hypothetical protein BBA_00044
NW_007930836.1,130880,131608,-,19883057,,BBA_00045,XP_008593364.1,242,hypothetical protein BBA_00045
NW_007930836.1,133249,134214,+,19883058,,BBA_00046,XP_008593365.1,321,"glucan endo-1,3-beta-glucosidase A1-like protein"
NW_007930836.1,135407,136672,-,19883059,,BBA_00047,XP_008593366.1,421,Cel5b-like protein
NW_007930836.1,138249,138827,+,19883060,,BBA_00048,XP_008593367.1,192,hypothetical protein BBA_00048
NW_007930836.1,140006,141980,-,19883061,,BBA_00049,XP_008593368.1,543,transporter-like protein
NW_007930836.1,143876,146215,-,19883062,,BBA_00050,XP_008593369.1,740,Cys2-His2 zinc finger transcription factor ACEI
NW_007930836.1,150227,151027,+,19883063,,BBA_00051,XP_008593370.1,266,hypothetical protein BBA_00051
NW_007930836.1,151356,152775,-,19883064,,BBA_00052,XP_008593371.1,418,polysaccharide export protein (CAP59)
NW_007930836.1,153461,155881,-,19883065,,BBA_00053,XP_008593372.1,764,glycosyltransferase family 39
NW_007930836.1,157526,158122,+,19883066,,BBA_00054,XP_008593373.1,125,endoribonuclease L-PSP
NW_007930836.1,158251,159473,-,19883067,,BBA_00055,XP_008593374.1,362,ARP2/3 actin-organizing complex subunit Sop2
NW_007930836.1,160189,160839,-,19883068,,BBA_00056,XP_008593375.1,177,hypothetical protein BBA_00056
NW_007930836.1,162045,163104,-,19883069,,BBA_00057,XP_008593376.1,312,hypothetical protein BBA_00057
NW_007930836.1,163802,165388,-,19883070,,BBA_00058,XP_008593377.1,528,diphthamide biosynthesis protein 2
NW_007930836.1,166586,167842,+,19883071,,BBA_00059,XP_008593378.1,418,FAD binding domain containing protein
NW_007930836.1,168317,172112,+,19883072,,BBA_00060,XP_008593379.1,1206,MutS domain V
NW_007930836.1,173082,174917,+,19883073,,BBA_00061,XP_008593380.1,611,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative"
NW_007930836.1,175409,177189,-,19883074,,BBA_00062,XP_008593381.1,567,cellobiose dehydrogenase
NW_007930836.1,178123,178827,-,19883075,,BBA_00063,XP_008593382.1,234,"AMP-binding enzyme, putative"
NW_007930836.1,184120,184979,+,19883076,,BBA_00064,XP_008593383.1,262,hypothetical protein BBA_00064
NW_007930836.1,186123,187605,-,19883077,,BBA_00065,XP_008593384.1,451,major facilitator superfamily transporter
NW_007930836.1,189192,190440,+,19883078,,BBA_00066,XP_008593385.1,390,Phosphotransferase enzyme family domain protein
NW_007930836.1,190905,192006,-,19883079,,BBA_00067,XP_008593386.1,292,2-nitropropane dioxygenase
NW_007930836.1,194874,196661,-,19883080,,BBA_00068,XP_008593387.1,515,vitamin H transporter
NW_007930836.1,199580,200518,+,19883081,,BBA_00069,XP_008593388.1,278,metalloprotease MEP1
NW_007930836.1,201650,202113,+,19883082,,BBA_00070,XP_008593389.1,52,hypothetical protein BBA_00070
NW_007930836.1,204827,207269,+,19883083,,BBA_00071,XP_008593390.1,713,nitrate assimilation regulatory protein nirA
NW_007930836.1,208955,214143,+,19883084,,BBA_00072,XP_008593391.1,1391,C6 transcription factor
NW_007930836.1,214545,215826,+,19883085,,BBA_00073,XP_008593392.1,410,methylitaconate delta2-delta3-isomerase
NW_007930836.1,217819,219812,+,19883086,,BBA_00074,XP_008593393.1,525,von Willebrand domain-containing protein
NW_007930836.1,219885,220517,+,19883087,,BBA_00075,XP_008593394.1,210,hypothetical protein BBA_00075
NW_007930840.1,1290568,1292187,+,19885692,,BBA_02680,XP_008595999.1,539,hypothetical protein BBA_02680
NW_007930840.1,1293945,1305633,+,19885693,,BBA_02681,XP_008596000.1,3847,FAT domain-containing protein
NW_007930840.1,1306342,1307067,+,19885694,,BBA_02682,XP_008596001.1,162,hypothetical protein BBA_02682
NW_007930840.1,1307171,1308773,+,19885695,,BBA_02683,XP_008596002.1,393,hypothetical protein BBA_02683
NW_007930840.1,1309779,1312432,+,19885696,,BBA_02684,XP_008596003.1,710,acetoacetate-CoA ligase
NW_007930840.1,1312674,1313300,-,19885697,,BBA_02685,XP_008596004.1,208,hypothetical protein BBA_02685
NW_007930840.1,1314192,1316126,-,19885698,,BBA_02686,XP_008596005.1,626,tetratricopeptide-like protein
NW_007930840.1,1317156,1318691,-,19885699,,BBA_02687,XP_008596006.1,511,F-box domain-containing protein
NW_007930840.1,1319654,1320395,+,19885700,,BBA_02688,XP_008596007.1,227,imidazoleglycerol-phosphate dehydratase
NW_007930840.1,1321057,1322470,+,19885701,,BBA_02689,XP_008596008.1,447,initiation factor 2 subunit family protein
NW_007930840.1,1322950,1323482,-,19885702,,BBA_02690,XP_008596009.1,86,NADH2 dehydrogenase subunit 14K
NW_007930840.1,1324060,1329270,-,19885703,,BBA_02691,XP_008596010.1,1736,HATPase domain-containing protein
NW_007930840.1,1329847,1330782,-,19885704,,BBA_02692,XP_008596011.1,311,"aldehyde reductase (GliO), putative"
NW_007930840.1,1331029,1331820,-,19885705,,BBA_02693,XP_008596012.1,263,kinase phosphorylation protein
NW_007930840.1,1332078,1333121,+,19885706,,BBA_02694,XP_008596013.1,326,MED6 mediator sub complex component
NW_007930840.1,1333298,1334536,-,19885707,,BBA_02695,XP_008596014.1,259,short chain dehydrogenase
NW_007930840.1,1335318,1338950,-,19885708,,BBA_02696,XP_008596015.1,1210,helicase associated domain-containing protein
NW_007930840.1,1339236,1339729,+,19885709,,BBA_02697,XP_008596016.1,147,hypothetical protein BBA_02697
NW_007930840.1,1340823,1342429,+,19885710,,BBA_02698,XP_008596017.1,511,Cytochrome P450 CYP5080B3
NW_007930840.1,1344655,1346126,+,19885711,,BBA_02699,XP_008596018.1,455,mitochondrial chaperone BCS1
NW_007930840.1,1347003,1349231,-,19885712,,BBA_02700,XP_008596019.1,497,hypothetical protein BBA_02700
NW_007930840.1,1350136,1350628,+,19885713,,BBA_02701,XP_008596020.1,137,Asp-hemolysin
NW_007930840.1,1351927,1353488,+,19885714,,BBA_02702,XP_008596021.1,451,salicylate hydroxylase
NW_007930840.1,1354093,1356046,-,19885715,,BBA_02703,XP_008596022.1,563,calcineurin-like phosphoesterase
NW_007930840.1,1357421,1358823,-,19885716,,BBA_02704,XP_008596023.1,366,trimethyllysine hydroxylase
NW_007930840.1,1359650,1361935,+,19885717,,BBA_02705,XP_008596024.1,761,ubiquitin carboxyl-terminal hydrolase
NW_007930840.1,1363824,1365241,+,19885718,,BBA_02706,XP_008596025.1,395,triose-phosphate transporter
NW_007930840.1,1365610,1366145,-,19885719,,BBA_02707,XP_008596026.1,133,hypothetical protein BBA_02707
NW_007930840.1,1368481,1370733,-,19885720,,BBA_02708,XP_008596027.1,750,arginine rich protein
NW_007930840.1,1371788,1372603,+,19885721,,BBA_02709,XP_008596028.1,225,galactoside O-acetyltransferase
NW_007930840.1,1372926,1374486,-,19885722,,BBA_02710,XP_008596029.1,495,mitochondrial fusion and transport protein Ugo1
NW_007930840.1,1375179,1376248,-,19885723,,BBA_02711,XP_008596030.1,311,metalloprotease 1
NW_007930840.1,1377687,1378490,+,19885724,,BBA_02712,XP_008596031.1,202,2Fe-2S iron-sulfur cluster binding domain-containing protein
